File Name,School Name,City,Country,Address,Course Name,Lessons Per Week,Description,Requirements,Duration,Price,Currency,Accommodations,Additional Fees,Terms
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,English for 30+,20,"Exclusively for learners aged 30+, 20 lessons per week.",Minimum English Level A2,1-12 weeks,€325,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English AM Package,20,25 weeks AM Group Tuition,,25 weeks,"€5,375",EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English PM Package,20,12/25 weeks PM Group Tuition,,12 weeks,"€2,100",EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,General English PM Package,20,12/25 weeks PM Group Tuition,,25 weeks,"€4,125",EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,30+ Executive Skills,20,"20 lessons Mini Group Tuition, max. 8 + 6 executive One to One",Minimum English Level A2,1 to 12 weeks,€675,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,Combination Courses 26,26,Morning group tuition combined with 6 lessons One to One,,1 to 12 weeks,€600,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,Combination Courses 30,30,Morning group tuition combined with 10 lessons One to One,,1 to 12 weeks,€825,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,One to One 20 Lessons,20,One to one intensive training,,1 to 4 weeks,"€1,150",EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,Individual Lessons,0,Tailored two or more lessons per session,,Per lesson,€75,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,SAY English + Business,20,20 lessons with modules focused on Business English,,Course duration,"€4,250",EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,SAY English + Exam Preparation,20,Prepare for recognized exams along with English study.,,Course duration,"€3,950",EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,C1 Advanced (CAE),20,Cambridge Advanced 6-week evening course,General idea of the English language basics,4 weeks,€1600,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Dublin,IE,123 Language School Street,C1 Advanced (CAE),20,Cambridge Advanced 6-week evening course,General idea of the English language basics,6 weeks,€1350,EUR,"Type: Homestay, Price/week: €200, Description: Single room, half board, inclusive of meals, Supplements: Summer: €35/week; special_diet: €35/week | Type: Shared Apartment, Price/week: €250, Description: Private room with kitchen access, utilities included",registration: €85; material_fee: €50,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,"TTP Using Drama, Music & Culture in the Classroom (Primary)",20,"Course on using drama, music, and culture in classrooms",B1+ level,1 week,€425,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,"TTP Using Drama, Music & Culture in the Classroom (Primary)",20,"Course on using drama, music, and culture in classrooms",B1+ level,1 week with 10 GE lessons,€525,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,TTP CLIL (Primary & Secondary),20,Content and Language Integrated Learning for teachers,B1+ level,1 week,€425,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,TTP CLIL (Primary & Secondary),20,Content and Language Integrated Learning for teachers,B1+ level,1 week with 10 GE lessons,€525,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,TTP Technology (Primary & Secondary),20,Technology usage in classrooms for teachers.,B1+ level,1 week,€425,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,TTP Technology (Primary & Secondary),20,Technology usage in classrooms for teachers.,B1+ level,1 week with 10 GE lessons,€525,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,TTP Academic Writing & Presentation Skills,20,Academic writing and presentation techniques.,B1+ level,1 week,€425,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,TTP Academic Writing & Presentation Skills,20,Academic writing and presentation techniques.,B1+ level,1 week with 10 GE lessons,€525,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,Pre-University English,30,Preparation course for university studies.,None,3 weeks,€330,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,Online Pre-sessional English,30,Pre-university preparation online course.,B2+ level,3 weeks,€220,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,General English + Business Topics,30,Combination of general English and business topics learning.,Intermediate Level,2 weeks,€325,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,50+ Programme,20,Course for students aged 50+ with tailored activities.,A2 to B2 level,2 weeks,€825,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
gci_pricelist_2025 - Galway.pdf,Galway Cultural Institute,Not Provided,Not Provided,Not Provided,Short Stay Group Programme,20,Custom short-stay group courses.,Closed groups,1 to 2 weeks,Individual quote,EUR,,,"cancellation_policy: 14 days notice required.; cancellation: 14 days notice required; manual_update_only: ; public_holidays_2025: 1st January, 3rd February, 17th March, 21st April, 5th May, 2nd June, 4th August, 27th October; christmas_holidays_2025: 22nd December 2025 - 2nd January 2026"
GV-Malta-Price-List-2025.pdf,GV Malta English Centre,St. Paul's Bay,MT,"Triq il-Fliegu, St. Paul's Bay, Malta",General English Course,20,Focus on improving overall English language skills.,,1 week,€200,EUR,"Type: Host Family, Price/week: €480 - €435, Description: Shared room with half-board host family accommodation. | Type: Self-Catering Apartments, Price/week: €240, Description: Stay in comfortable self-catering apartments recommended by the school. | Type: Basic Shared Room in Shared Apartment, Price/week: €320 - €275, Description: Accommodation in a shared apartment, price varies by duration of stay. | Type: School Residence - Shared Apartments, Price/week: €125.00 to €625.00, Description: Basic and Comfort Rooms, shared or private bathrooms available based on type and season., Supplements: Comfort Room Supplement: Air-conditioning and ensuite bathroom included; Guaranteed Twin Room Supplement: €55 per room per week; Unlimited AC Supplement for Basic Rooms: €35 per week | Type: School Residence - Private Apartments, Price/week: €285.00 to €1,025.00, Description: Studio, 2-bedroom and 3-bedroom apartment options available, seasonal pricing.",registration: €65; materials_fee: €30; materials: €50; Summer Supplement - Course: €50 per student per week; Summer Supplement - Long-Stay Packages: €100 per student per week; Course Upgrades: +€125 to €250 per week for additional private lessons,cancellation: Full refund for cancellations made 7 days prior to course start.; Check-in: From 14:00; Check-out: By 10:00; house_rules: Students must follow the accommodation and school rules.
GV-Malta-Price-List-2025.pdf,GV Malta English Centre,St. Paul's Bay,MT,"Triq il-Fliegu, St. Paul's Bay, Malta",General English Course,20,Focus on improving overall English language skills.,,2 weeks,€380,EUR,"Type: Host Family, Price/week: €480 - €435, Description: Shared room with half-board host family accommodation. | Type: Self-Catering Apartments, Price/week: €240, Description: Stay in comfortable self-catering apartments recommended by the school. | Type: Basic Shared Room in Shared Apartment, Price/week: €320 - €275, Description: Accommodation in a shared apartment, price varies by duration of stay. | Type: School Residence - Shared Apartments, Price/week: €125.00 to €625.00, Description: Basic and Comfort Rooms, shared or private bathrooms available based on type and season., Supplements: Comfort Room Supplement: Air-conditioning and ensuite bathroom included; Guaranteed Twin Room Supplement: €55 per room per week; Unlimited AC Supplement for Basic Rooms: €35 per week | Type: School Residence - Private Apartments, Price/week: €285.00 to €1,025.00, Description: Studio, 2-bedroom and 3-bedroom apartment options available, seasonal pricing.",registration: €65; materials_fee: €30; materials: €50; Summer Supplement - Course: €50 per student per week; Summer Supplement - Long-Stay Packages: €100 per student per week; Course Upgrades: +€125 to €250 per week for additional private lessons,cancellation: Full refund for cancellations made 7 days prior to course start.; Check-in: From 14:00; Check-out: By 10:00; house_rules: Students must follow the accommodation and school rules.
GV-Malta-Price-List-2025.pdf,GV Malta English Centre,St. Paul's Bay,MT,"Triq il-Fliegu, St. Paul's Bay, Malta",Business English,20,Specialized programs for business needs.,Minimum age: 21.,1 week,€250,EUR,"Type: Host Family, Price/week: €480 - €435, Description: Shared room with half-board host family accommodation. | Type: Self-Catering Apartments, Price/week: €240, Description: Stay in comfortable self-catering apartments recommended by the school. | Type: Basic Shared Room in Shared Apartment, Price/week: €320 - €275, Description: Accommodation in a shared apartment, price varies by duration of stay. | Type: School Residence - Shared Apartments, Price/week: €125.00 to €625.00, Description: Basic and Comfort Rooms, shared or private bathrooms available based on type and season., Supplements: Comfort Room Supplement: Air-conditioning and ensuite bathroom included; Guaranteed Twin Room Supplement: €55 per room per week; Unlimited AC Supplement for Basic Rooms: €35 per week | Type: School Residence - Private Apartments, Price/week: €285.00 to €1,025.00, Description: Studio, 2-bedroom and 3-bedroom apartment options available, seasonal pricing.",registration: €65; materials_fee: €30; materials: €50; Summer Supplement - Course: €50 per student per week; Summer Supplement - Long-Stay Packages: €100 per student per week; Course Upgrades: +€125 to €250 per week for additional private lessons,cancellation: Full refund for cancellations made 7 days prior to course start.; Check-in: From 14:00; Check-out: By 10:00; house_rules: Students must follow the accommodation and school rules.
GV-Malta-Price-List-2025.pdf,GV Malta English Centre,St. Paul's Bay,MT,"Triq il-Fliegu, St. Paul's Bay, Malta",Business English,20,Specialized programs for business needs.,Minimum age: 21.,2 weeks,€480,EUR,"Type: Host Family, Price/week: €480 - €435, Description: Shared room with half-board host family accommodation. | Type: Self-Catering Apartments, Price/week: €240, Description: Stay in comfortable self-catering apartments recommended by the school. | Type: Basic Shared Room in Shared Apartment, Price/week: €320 - €275, Description: Accommodation in a shared apartment, price varies by duration of stay. | Type: School Residence - Shared Apartments, Price/week: €125.00 to €625.00, Description: Basic and Comfort Rooms, shared or private bathrooms available based on type and season., Supplements: Comfort Room Supplement: Air-conditioning and ensuite bathroom included; Guaranteed Twin Room Supplement: €55 per room per week; Unlimited AC Supplement for Basic Rooms: €35 per week | Type: School Residence - Private Apartments, Price/week: €285.00 to €1,025.00, Description: Studio, 2-bedroom and 3-bedroom apartment options available, seasonal pricing.",registration: €65; materials_fee: €30; materials: €50; Summer Supplement - Course: €50 per student per week; Summer Supplement - Long-Stay Packages: €100 per student per week; Course Upgrades: +€125 to €250 per week for additional private lessons,cancellation: Full refund for cancellations made 7 days prior to course start.; Check-in: From 14:00; Check-out: By 10:00; house_rules: Students must follow the accommodation and school rules.
